Country.Name,age_dependency,co2_kg_ppp_gdp,co2_kt,f_labor_force,f_lifeexp,f_net_enrollment,f_out_school,f_pop,fertility_rate,gdp_currentUS,gdp_energy_perunit,gdp_ppp_current,gini_index,m_lifeexp,m_pop,pop_density,pop_growth,pop_largest_city,pop_largest_city_perc,pop_lifeexp,pop_perc,pop_w_electric,rural_pop,urban_pop,Region,Income.Group
Afghanistan,84.0776560757747,NA,NA,NA,NA,NA,NA,48.6358467017121,NA,19362969582.3643,NA,72672245387.0863,NA,NA,51.3641532982879,56.937760009803,2.38476110022344,4011770,42.3311983623682,NA,37172386,NA,74.505,25.495,South Asia,Low income
Albania,45.8100373938934,NA,NA,NA,NA,NA,NA,49.0630945959306,NA,15102500898.238,NA,38306694289.2319,NA,NA,50.9369054040694,104.612262773723,-0.246732042281782,475577,27.5063925379807,NA,2866376,NA,39.681,60.319,Europe & Central Asia,Upper middle income
Algeria,57.508032444058,NA,NA,NA,NA,NA,NA,49.4842678798151,NA,173757952824.25,NA,653771569286.319,NA,NA,50.515732120185,17.7300750711665,2.00737383000812,2693542,8.78230990288061,NA,42228429,NA,27.371,72.629,Middle East & North Africa,Upper middle income
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,636000000,NA,NA,NA,NA,NA,277.325,-0.279065761519574,NA,NA,NA,55465,NA,12.847,87.153,East Asia & Pacific,Upper middle income
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,3236543909.34844,NA,NA,NA,NA,NA,163.842553191489,0.00649321134981403,NA,NA,NA,77006,NA,11.938,88.062,Europe & Central Asia,High income
Angola,96.1757404434103,NA,NA,NA,NA,NA,NA,50.5304629337424,NA,105750987618.63,NA,198795526982.065,NA,NA,49.4695370662576,24.7130520574316,3.27613387502724,7774200,38.515297744971,NA,30809762,NA,34.486,65.514,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,44.6778458949393,NA,NA,NA,NA,NA,NA,51.7884962921418,NA,1610574074.07407,NA,2587025104.47674,NA,NA,48.2115037078582,218.831818181818,0.897185120114641,NA,NA,NA,96286,NA,75.401,24.599,Latin America & Caribbean,High income
Argentina,55.9544729116194,NA,NA,49.5227012634277,NA,NA,NA,51.2373484456557,NA,519871519807.795,NA,917056983548.118,NA,NA,48.7626515543443,16.2585100979651,1.01580834908004,14966530,36.6134837504002,NA,44494502,NA,8.13,91.87,Latin America & Caribbean,Upper middle income
Armenia,46.8153268581115,NA,NA,NA,NA,90.65059,6.95481,52.9565771522637,NA,12433089919.0459,NA,30530737470.7951,NA,NA,47.0434228477363,103.680224798033,0.236306378760517,1080324,57.9567675616692,NA,2951776,NA,36.851,63.149,Europe & Central Asia,Upper middle income
Aruba,45.6736261165169,NA,NA,NA,NA,NA,NA,52.5310356555751,NA,NA,NA,NA,NA,NA,47.4689643444249,588.027777777778,0.453575638777095,NA,NA,NA,105845,NA,56.589,43.411,Latin America & Caribbean,High income
Australia,53.4850925076098,NA,NA,60.4939002990723,NA,NA,NA,50.1996232411296,NA,1433904348500.12,NA,1291189884232.08,NA,NA,49.8003767588704,3.24912948744283,1.57484884368487,4792281,22.2933745854429,NA,24992369,NA,13.988,86.012,East Asia & Pacific,High income
Austria,49.9239537862711,NA,NA,55.9140014648438,NA,NA,NA,50.8294266482503,NA,455285818035.125,NA,490609688001.231,NA,NA,49.1705733517497,107.206926667578,0.560750838441217,1900547,36.8497527026846,NA,8847037,NA,41.703,58.297,Europe & Central Asia,High income
Azerbaijan,41.9743769302695,NA,NA,63.0999984741211,NA,92.43446,4.09353,50.1157491047071,NA,46939529411.7647,NA,179400834646.209,NA,NA,49.8842508952929,120.265319946776,0.892098894830341,2285729,41.2892628685675,NA,9942334,NA,44.32,55.68,Europe & Central Asia,Upper middle income
"Bahamas, The",42.3335707774017,NA,NA,NA,NA,NA,NA,51.4250521866532,NA,12424500000,NA,12374311871.2356,NA,NA,48.5749478133468,38.5254745254745,1.01095334432863,NA,NA,NA,385640,NA,16.975,83.025,Latin America & Caribbean,High income
Bahrain,27.6823885939756,NA,NA,NA,NA,97.19373,2.02831,36.3482516056683,NA,37746196808.5106,NA,74239249144.6626,NA,NA,63.6517483943317,2017.27369979138,4.92116137205662,564631,40.2932266708532,NA,1569439,NA,10.713,89.287,Middle East & North Africa,High income
Bangladesh,48.9522984985764,NA,NA,NA,NA,NA,NA,49.3872966665271,NA,274024958965.892,NA,705409067990.49,NA,NA,50.6127033334729,1239.57931166936,1.05004464945676,19578421,33.1231636140144,NA,161356039,NA,63.368,36.632,South Asia,Lower middle income
Barbados,49.5788803540119,NA,NA,NA,NA,97.52594,2.47406,51.6728300307005,NA,5145000000,NA,5318374171.63194,NA,NA,48.3271699692995,666.606976744186,0.142439722865012,NA,NA,NA,286641,NA,68.853,31.147,Latin America & Caribbean,High income
Belarus,46.4366703836546,NA,NA,66.1999969482422,NA,95.08603,2.10219,53.4560542241486,NA,59662495092.2654,NA,189658434681.797,NA,NA,46.5439457758514,46.7287999040892,-0.13567466715245,2004672,26.89016113799,NA,9485386,NA,21.405,78.595,Europe & Central Asia,Upper middle income
Belgium,55.8704697088111,NA,NA,49.521900177002,NA,NA,NA,50.593319387085,NA,542761092103.469,NA,587185652753.001,NA,NA,49.406680612915,377.214927344782,0.411541879773053,2049510,18.3094284564919,NA,11422068,NA,1.999,98.001,Europe & Central Asia,High income
Belize,53.8845637799577,NA,NA,NA,NA,NA,NA,50.1925230570834,NA,1871203164.08274,NA,3312832024.54119,NA,NA,49.8074769429166,16.7939938623411,1.92457576999509,NA,NA,NA,383071,NA,54.276,45.724,Latin America & Caribbean,Upper middle income
Benin,84.1664350899012,NA,NA,NA,NA,NA,NA,50.098201703347,NA,10354274634.9108,NA,27848437265.8723,NA,NA,49.901798296653,101.853919829727,2.73486201301479,927545,17.0698953919223,NA,11485048,NA,52.688,47.312,Sub-Saharan Africa,Low income
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184.59257167194,0.147164730563287,NA,NA,NA,63968,NA,0,100,North America,High income
Bhutan,46.5724999514271,NA,NA,NA,NA,90.79405,7.38426,47.0026352207594,NA,2534965162.78084,NA,7947431933.49041,NA,NA,52.9973647792406,19.7775277714448,1.17684339517943,NA,NA,NA,754394,NA,59.105,40.895,South Asia,Lower middle income
Bolivia,61.9839670266234,NA,NA,63.8000984191895,NA,NA,NA,49.7833991301085,NA,40287647756.8741,NA,89385174346.499,NA,NA,50.2166008698915,10.4801458506416,1.42189948560338,1814087,23.0158036386824,NA,11353142,NA,30.575,69.425,Latin America & Caribbean,Lower middle income
Bosnia and Herzegovina,45.4260912327308,NA,NA,31.3680992126465,NA,NA,NA,51.0105360252881,NA,20161865419.4327,NA,48608054272.2858,NA,NA,48.9894639747119,64.92048828125,-0.826854592009436,342577,21.3625961100753,NA,3323929,NA,51.755,48.245,Europe & Central Asia,Upper middle income
Botswana,62.1713049096165,NA,NA,NA,NA,NA,NA,51.7307604432344,NA,18616018903.4434,NA,41962343769.8189,NA,NA,48.2692395567656,3.97742487604327,2.197675757572,NA,NA,NA,2254126,NA,30.554,69.446,Sub-Saharan Africa,Upper middle income
Brazil,43.3833797933835,NA,NA,52.9481010437012,NA,NA,NA,50.8299167629894,NA,1868626087908.48,NA,3371702373241.36,NA,NA,49.1700832370106,25.0617162430876,0.783847578971981,21650181,11.939294933562,NA,209469333,NA,13.431,86.569,Latin America & Caribbean,Upper middle income
British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.68,0.757847309225455,NA,NA,NA,29802,NA,52.277,47.723,Latin America & Caribbean,High income
Brunei Darussalam,38.6956282757216,NA,NA,NA,NA,NA,NA,48.0361805296531,NA,13567351175.0315,NA,34711625923.6291,NA,NA,51.9638194703469,81.396963946869107,1.05199374278845,NA,NA,NA,428962,NA,22.371,77.629,East Asia & Pacific,High income
Bulgaria,55.3214307352731,NA,NA,49.2206001281738,NA,NA,NA,51.4140884138516,NA,65132951116.4756,NA,154254381915.75,NA,NA,48.5859115861484,64.7035372144436,-0.733767859366281,1272418,24.1504015013882,NA,7024216,NA,24.992,75.008,Europe & Central Asia,Upper middle income
Burkina Faso,89.9517925391388,NA,NA,NA,NA,78.43496,21.56504,50.0954815202072,NA,14124775068.569,NA,39204511840.0129,NA,NA,49.9045184797928,72.1912828947368,2.86707836702633,2531381,43.6546158282195,NA,19751535,NA,70.642,29.358,Sub-Saharan Africa,Low income
Burundi,91.3825124942437,NA,NA,NA,NA,94.82571,4.98923,50.4219946366025,NA,3036931818.18182,NA,8316515955.51342,NA,NA,49.5780053633975,435.178271028037,3.16677344240935,898968,61.726409750236,NA,11175378,NA,86.968,13.032,Sub-Saharan Africa,Low income
Cabo Verde,50.121059359117,NA,NA,48.7200012207031,NA,92.64976,7.33386,49.8190391419807,NA,1976814276.50792,NA,4053273973.85225,NA,NA,50.1809608580193,134.929776674938,1.15976676910969,NA,NA,NA,543767,NA,34.268,65.732,Sub-Saharan Africa,Lower middle income
Cambodia,55.6907148735824,NA,NA,NA,NA,90.63422,9.36578,51.1979812668406,NA,24542474061.2426,NA,70863003179.8147,NA,NA,48.8020187331594,92.0564128710628,1.49035537141766,1952329,51.370279144629,NA,16249798,NA,76.612,23.388,East Asia & Pacific,Lower middle income
