Country.Name,age_dependency,co2_kg_ppp_gdp,co2_kt,f_labor_force,f_lifeexp,f_net_enrollment,f_out_school,f_pop,fertility_rate,gdp_currentUS,gdp_energy_perunit,gdp_ppp_current,gini_index,m_lifeexp,m_pop,pop_density,pop_growth,pop_largest_city,pop_largest_city_perc,pop_lifeexp,pop_perc,pop_w_electric,rural_pop,urban_pop,Region,Income.Group
Afghanistan,104.476105278329,NA,817.741,NA,57.596,NA,NA,48.5455726553701,7.387,NA,NA,NA,NA,55.119,51.4544273446299,33.0958980485862,3.90280570094654,2508477,52.3684602237178,56.308,21606988,NA,77.831,22.169,South Asia,Low income
Albania,58.6864512248242,0.244877420016906,3223.293,NA,77.263,94.45652,5.54348,49.3185451261958,2.068,3922099470.97313,7.20174625873496,13162883698.2089,NA,71.606,50.6814548738042,111.685145985401,-0.93847042771206,344700,26.5442974809485,74.288,3060173,100,57.565,42.435,Europe & Central Asia,Upper middle income
Algeria,60.2510597970081,0.315772396756391,84219.989,NA,72.542,91.21017,8.78983,49.3344278858699,2.438,54743249368.646,9.86007243398203,266711054750.53,NA,69.744,50.6655721141301,13.2052675774854,1.30984253035285,2168042,11.3540708347275,71.116,31451514,NA,39.288,60.712,Middle East & North Africa,Upper middle income
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.47,1.15721533829325,NA,NA,NA,58494,NA,11.509,88.491,East Asia & Pacific,Upper middle income
Andorra,NA,NA,524.381,NA,NA,NA,NA,NA,NA,1496912751.67785,NA,NA,NA,NA,NA,143.278723404255,2.93999220643334,NA,NA,NA,67341,100,7.944,92.056,Europe & Central Asia,High income
Angola,99.0394029999408,0.179964940588437,9732.218,NA,49.317,NA,NA,50.2886770508221,6.601,8936063723.20121,7.20410556478703,54078410873.686,NA,44.966,49.7113229491779,13.5924865645304,3.3011981819287,3011913,34.6644546146662,47.059,16945753,20,48.726,51.274,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,53.5029821073559,0.285482408368872,348.365,66.2399978637695,75.562,NA,NA,53.0021240221727,2.187,800740259.259259,NA,1220267833.63085,NA,72.67,46.9978759778273,175.481818181818,1.56110409210633,NA,NA,74.171,77212,NA,68.26,31.74,Latin America & Caribbean,High income
Argentina,61.2371690008051,0.311547458338549,133720.822,43.2000007629395,77.155,NA,NA,51.4679451279232,2.512,268696750000,7.32996364967623,429214934742.59,53.3,70.307,48.5320548720768,13.620706766203,1.09207948287894,12647992,37.9842769379884,73.755,37275652,95.5110634674458,10.671,89.329,Latin America & Caribbean,Upper middle income
Armenia,54.4144228048606,0.44287566822436,3542.322,NA,74.817,NA,NA,53.0599674958354,1.634,2118467913.37873,3.98777363306563,7998457025.65322,35.4,68.501,46.9400325041646,107.154443273621,-0.617751681128924,1105179,56.2665431209382,71.8,3050687,100,35.615,64.385,Europe & Central Asia,Upper middle income
Aruba,44.2515527950311,0.807462955631267,2409.219,NA,76.307,NA,NA,51.9409636997804,1.846,1920111731.84358,NA,2983689819.07844,NA,71.382,48.0590363002196,516.1,2.22593013018195,NA,NA,73.853,92898,100,53.661,46.339,Latin America & Caribbean,High income
